title,date,section,summary
"권익위 간부 사망 ""정권  권력 농단  피해자 계속 나와 """,2024.08.09. 오전 11:38,100,"민주당은 국회 상임위에서 권익위 국장의 사망과 김 여사 명품 가방 수수 사건 등 외압 의혹을 진상규명하기로 했습니다. 정청래 최고위원은 윤석열 정권을 비판하며 국민 앞에 진실을 밝히겠다고 강조했습니다. 또한, 국회 상임위에서 외압 의혹을 받은 권익위 국장을 윤석열 정권의 피해자로 지목하고 상임위 차원의 진상조사를 요구했습니다.민주당은 고인의 빈소를 찾아 조문할 예정이며, 외압 의혹 사건을 총괄했던 권익위 부패방지국장 직무대리의 사망으로 경찰이 수사에 착수했습니다."
"과방위 최민희 ""편파적으로 여당 편을"" 與 ""그건 아니지 않나""",2024.08.09. 오후 1:02,100,"과방위 청문회에서 여야 의원들의 호도 발언으로 소란이 빚어졌다. 최 의원은 야당의 방송법 처리에 대한 우려를 피력하며 논란을 일으켰고, 최 위원장은 의원들의 행동을 경고했다. 노 의원은 품위를 지켜야 한다고 주장하며 최 의원의 발언을 취소하도록 요구했지만, 최 의원은 호도 발언을 취소하겠다고 밝혔다.하지만 최 위원장은 계속된 갈등을 막기 위해 최 의원의 발언을 중단시켰다."
[시사정각] 김경수 복권에 술렁이는 야권...이재명 일극체제 분열될까?,2024.08.09. 오후 12:34,100,"정의당 전 의원인 박원석은 정봉주 전 의원이 이재명 전 대표의 최고위원 경선 개입에 열받고 있다고 전했습니다. 박 전 의원은 정봉주 전 의원이 이재명을 비판하는 것을 참지 못한다고 언급했습니다. 또한, 정봉주 전 의원을 수박화하고 있다는 분위기가 형성되고 있다고 소장은 전했습니다."
"셀리드, 中·日 독자적 아데노바이러스 벡터 특허 등록 결정",2024.08.09. 오후 1:57,101,"한국기업거버넌스포럼이 두산그룹의 지배구조 개편안에 대해 공개질의를 하고 있습니다. 이사회가 일반주주 관점에서 충분히 논의했는지 의문을 제기했고, 이번 분할·합병이 국민연금과 일반주주에게 피해를 줄 수 있다는 우려를 표명했습니다. 두산로보틱스는 합병 관련 증권신고서를 제출했지만 정보가 부족해 금감원에 정정을 요구받았습니다. 이복현 금감원장은 부족한 정보가 있다면 무제한으로 정정을 요구할 것이라 밝혔습니다."
"""일반주주 피해 논의했나"" 공개질의 받은 두산, 응답할까",2024.08.09. 오후 1:30,101,"셀리드는 자체 기술력으로 코로나19 백신을 개발하고 중국과 일본에서 특허 등록을 받았습니다. 이를 통해 해외 의존도를 낮추고, 다양한 신규 백신에도 적용 가능합니다. 또한, 고병원성 인플루엔자 백신과 BVAC 파이프라인에도 적용할 수 있습니다. 현재 국내 특허 및 PCT 출원을 진행 중이며, 오미크론 대응 코로나19 백신을 개발해 국가에 공급할 계획입니다."
"한화오션으로 육·해·공 갖춘 한화, 글로벌 방산 20위권 도약",2024.08.08. 오후 3:01,101,"지난 주말 가상자산 시장 폭락은 미국 경기 침체론과 일본 중앙은행의 금리인상으로 인한 엔캐리 트레이드 청산이 영향을 미쳤습니다. 미국의 경기 침체론은 '샴의 법칙'에 따라 실업률이 상승하면서 시장에 냉각작용을 일으켰고, 일본의 금리인상으로 엔캐리 트레이드 매물이 쏟아져 시장을 충격시켰습니다. 또한 VC 기업들의 이더리움 매도세도 시장 하락을 가속화시켰으며, 이에 따라 시장은 큰 변동을 겪었지만 신규실업수당 청구 건수 발표 이후 안정을 찾고 있습니다."
"대전 동구, '화재 예방' 전기차 충전시설 안전관리시스템 구축",2024.08.08. 오후 2:55,102,"정부가 서울 아파트 가격 상승에 대응하여 수도권 대규모 주택공급 방안을 발표했습니다. 그린벨트 해제로 신규 택지 조성과 재건축 재개발 활성화 등을 통해 주택 공급을 확대할 예정입니다. 서울 일부 그린벨트를 해제하여 수도권 전체적으로 8만 호를 신규택지로 조성할 계획이며, 투기 방지를 위해 거래 제한도 예정되어 있습니다. 이를 통해 6년간 42만여 가구를 신속하게 공급할 예정입니다."
김형석 새 독립기념관장 “뉴라이트 아니다”… 광복회 등 유족 “즉각 퇴진”,2024.08.09. 오전 5:02,102,독립기념관 제13대 관장으로 취임한 김형석 관장에 대한 논란이 이어지고 있습니다. 광복회와 지역 시민단체 등은 김 관장의 즉각 퇴임을 요구하며 광복절 행사 불참을 선언했습니다. 김 관장은 뉴라이트 지목에 대해 부정하며 임기 동안 성실히 근무할 것이라고 밝혔습니다.하지만 논란은 계속되고 있습니다.
전기차 포비아 확산…정부 ‘배터리 실명제’ 만지작,2024.08.09. 오후 1:40,102,"정부는 전기차 화재로 인한 불안을 해소하기 위해 배터리 제조사 정보를 공개하는 방안을 검토 중이다. 다음 달 초 발표될 종합대책에 '배터리 실명제' 도입 여부를 포함할 예정이며, 국내 차량 제조사와 안전 점검 회의를 열어 입장을 청취할 예정이다. 이에 대한 요구가 높아지고 있지만, 의견은 분분하며 정보 제공의 효과와 부작용에 대한 논의가 이어지고 있다."
"[날씨] 가마솥더위 기승, 주말에도 폭염 극심‥남부·제주 소나기",2024.08.09. 오후 12:15,103,"폭염이 계속되고 있습니다. 서울은 19일째 열대야가 이어지며, 전국이 뜨겁습니다. 아이들은 분수대에서 더위를 식히고 있습니다. 낮 최고 기온은 서울 34도, 대구 35도로 치솟을 것으로 예상됩니다. 주말에도 폭염이 이어지며, 소나기가 오는 곳도 있을 것입니다. 다음 주에도 뜨거운 날씨가 계속될 전망입니다. 오늘은 전국에 가끔 구름이 많을 것으로 보입니다."
